2026-04-23 14:37:39 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: True | Altitude: 0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.93
2026-04-23 14:37:42 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: True | Altitude: 0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.92
2026-04-23 14:37:44 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: True | Altitude: 0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.91
2026-04-23 14:37:47 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: True | Altitude: 0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.86
2026-04-23 14:37:50 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: True | Altitude: 0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.83
2026-04-23 14:37:52 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: True | Altitude: 0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: False | Target Position: center | Target Confidence: 0.83
2026-04-23 14:37:55 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: 0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.82
2026-04-23 14:37:58 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: 0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.83
2026-04-23 14:38:01 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: True | Altitude: 0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.85
2026-04-23 14:38:04 - Battery: 99% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 0.1m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.88
2026-04-23 14:38:07 - Battery: 98% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 5.7m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.91
2026-04-23 14:38:10 - Battery: 98% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 13.2m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.89
